LG,WR,LR,WF,FL,FU,BW,is_resonant,in_target_window,source
6.5,12.0,3.0,3.3,5.5,8.41,2.91,1,1,original
6.0,12.5,3.0,2.7,5.42,8.33,2.91,1,1,original
6.5,12.5,3.3,4.1,5.14,8.04,2.8999999999999995,1,1,original
6.0,12.0,3.3,4.7,5.14,8.04,2.8999999999999995,1,1,original
6.5,12.5,3.3,3.7,5.09,7.98,2.8900000000000006,1,1,original
6.5,12.5,3.3,3.1,5.36,8.25,2.8899999999999997,1,1,original
6.5,12.0,3.0,3.5,5.45,8.34,2.8899999999999997,1,1,original
6.5,12.5,3.0,3.4,5.34,8.22,2.880000000000001,1,1,original
6.5,12.5,3.0,3.7,5.4,8.28,2.879999999999999,1,1,original
6.5,12.75,3.3,2.4,5.34,8.2,2.8599999999999994,1,1,original
6.5,12.0,3.0,3.0,5.55,8.4,2.8500000000000005,1,1,original
6.5,12.0,3.3,3.3,5.45,8.3,2.8500000000000005,1,1,original
6.0,12.0,3.0,2.2,5.86,8.71,2.8500000000000005,1,1,original
6.5,12.0,3.0,3.2,5.54,8.39,2.8500000000000005,1,1,original
6.0,12.0,3.3,3.4,5.39,8.24,2.8500000000000005,1,1,original
6.5,12.0,3.3,3.1,5.56,8.41,2.8500000000000005,1,1,original
6.5,12.5,3.0,4.2,5.46,8.3,2.8400000000000007,1,1,original
6.5,12.0,3.0,3.1,5.54,8.38,2.8400000000000007,1,1,original
6.5,11.75,3.3,3.0,5.61,8.45,2.839999999999999,1,1,original
6.5,12.5,3.0,3.2,5.38,8.21,2.830000000000001,1,1,original
6.5,12.0,3.3,2.9,5.6,8.43,2.83,1,1,original
6.0,12.0,3.3,5.0,5.06,7.89,2.83,1,1,original
6.5,12.5,3.0,2.9,5.43,8.25,2.8200000000000003,1,1,original
6.5,12.0,3.0,2.6,5.62,8.44,2.8199999999999994,1,1,original
6.5,11.25,3.3,2.8,5.78,8.59,2.8099999999999996,1,1,original
6.5,11.75,3.3,2.2,5.79,8.6,2.8099999999999996,1,1,original
5.5,12.0,3.0,4.6,5.07,7.88,2.8099999999999996,1,1,original
6.0,11.75,3.3,2.7,5.83,8.63,2.8000000000000007,1,1,original
6.0,12.0,3.0,3.0,5.5,8.3,2.8000000000000007,1,1,original
6.5,12.0,3.0,2.9,5.53,8.33,2.8,1,1,original
6.5,12.0,3.0,2.5,5.69,8.49,2.8,1,1,original
6.0,12.5,3.3,3.6,5.21,8.01,2.8,1,1,original
6.5,12.25,3.3,2.9,5.52,8.31,2.790000000000001,1,1,original
6.5,12.0,3.3,3.5,5.35,8.14,2.790000000000001,1,1,original
6.5,12.5,3.3,3.3,5.16,7.94,2.7800000000000002,1,1,original
6.5,12.5,3.0,3.3,5.38,8.16,2.7800000000000002,1,1,original
6.5,12.75,3.3,2.5,5.58,8.35,2.7699999999999996,1,1,original
6.0,12.5,3.3,3.3,5.33,8.08,2.75,1,1,original
6.0,12.0,3.0,4.8,5.08,7.83,2.75,1,1,original
6.5,12.5,3.0,2.4,5.52,8.27,2.75,1,1,original
6.0,12.75,3.3,2.8,5.27,8.01,2.74,1,1,original
6.0,12.0,3.3,3.7,5.25,7.99,2.74,1,1,original
6.0,12.0,3.3,3.9,5.27,8.01,2.74,1,1,original
6.0,12.5,3.3,2.3,5.55,8.29,2.7399999999999993,1,1,original
6.5,12.5,3.0,2.1,5.67,8.4,2.7300000000000004,1,1,original
7.0,12.5,3.3,3.0,5.38,8.11,2.7299999999999995,1,1,original
5.5,10.5,3.3,2.9,6.12,8.85,2.7299999999999995,1,1,original
6.0,12.5,3.3,3.4,5.29,8.01,2.7199999999999998,1,1,original
4.5,11.0,3.3,2.6,6.29,9.0,2.71,1,1,original
6.5,12.5,3.0,2.3,5.61,8.32,2.71,1,1,original
6.5,12.75,3.3,2.8,5.38,8.06,2.6800000000000006,1,1,original
6.5,12.0,3.0,2.2,5.73,8.41,2.6799999999999997,1,1,original
6.0,12.25,3.3,2.9,5.51,8.18,2.67,1,1,original
7.0,12.5,3.3,2.2,5.57,8.24,2.67,1,1,original
6.5,12.5,3.3,3.5,5.18,7.85,2.67,1,1,original
6.5,12.25,3.3,2.2,5.75,8.41,2.66,1,1,original
6.5,12.0,3.3,2.8,5.71,8.37,2.6599999999999993,1,1,original
7.0,12.0,3.3,4.1,5.54,8.2,2.6599999999999993,1,1,original
7.0,12.5,3.3,2.0,5.58,8.23,2.6500000000000004,1,1,original
7.0,12.5,3.0,2.6,5.57,8.21,2.6400000000000006,1,1,original
6.5,12.0,3.0,2.1,5.8,8.44,2.6399999999999997,1,1,original
7.0,12.5,3.3,3.6,5.45,8.09,2.6399999999999997,1,1,original
7.0,12.75,3.3,2.3,5.29,7.93,2.6399999999999997,1,1,original
7.0,12.0,3.0,4.2,5.52,8.15,2.630000000000001,1,1,original
6.0,12.0,3.3,2.9,5.56,8.19,2.63,1,1,original
6.0,12.5,3.0,2.9,5.34,7.97,2.63,1,1,original
6.5,12.0,3.3,2.7,5.72,8.34,2.62,1,1,original
7.0,12.5,3.3,2.7,5.47,8.08,2.6100000000000003,1,1,original
7.0,11.5,3.3,2.7,5.75,8.36,2.6099999999999994,1,1,original
6.5,12.5,3.0,2.6,5.56,8.15,2.5900000000000007,1,1,original
7.0,11.5,3.3,2.4,5.82,8.41,2.59,1,1,original
7.0,11.75,3.3,2.0,5.81,8.39,2.580000000000001,1,1,original
7.0,11.75,3.3,2.9,5.64,8.22,2.580000000000001,1,1,original
6.5,11.75,3.3,2.6,5.76,8.34,2.58,1,1,original
7.0,12.25,3.3,3.0,5.52,8.1,2.58,1,1,original
6.5,12.0,3.0,2.3,5.87,8.45,2.579999999999999,1,1,original
7.0,12.0,3.0,3.7,5.58,8.15,2.5700000000000003,1,1,original
7.0,12.0,3.0,3.6,5.57,8.14,2.5700000000000003,1,1,original
6.5,11.75,3.3,2.8,5.84,8.39,2.5500000000000007,1,1,original
7.0,12.25,3.3,2.5,5.59,8.14,2.5500000000000007,1,1,original
7.0,11.5,3.3,2.1,5.87,8.42,2.55,1,1,original
7.0,11.5,3.3,2.3,5.69,8.24,2.55,1,1,original
6.5,12.0,3.3,2.3,5.64,8.19,2.55,1,1,original
7.0,12.0,3.3,3.6,5.55,8.09,2.54,1,1,original
7.0,11.75,3.3,2.8,5.74,8.28,2.539999999999999,1,1,original
7.0,12.5,3.3,2.4,5.48,8.02,2.539999999999999,1,1,original
5.5,11.0,3.3,2.4,6.47,9.0,2.5300000000000002,1,1,original
7.0,12.0,3.3,2.5,5.72,8.25,2.5300000000000002,1,1,original
5.5,12.5,3.0,3.3,5.35,7.88,2.5300000000000002,1,1,original
7.0,11.75,3.3,3.0,5.76,8.29,2.5299999999999994,1,1,original
7.0,12.5,3.3,2.1,5.59,8.12,2.5299999999999994,1,1,original
7.0,12.0,3.3,3.5,5.54,8.06,2.5200000000000005,1,1,original
6.5,12.25,3.3,2.7,5.7,8.21,2.5100000000000007,1,1,original
7.0,12.75,3.3,2.9,5.38,7.89,2.51,1,1,original
7.0,11.25,3.3,2.3,5.93,8.44,2.51,1,1,original
6.5,12.0,3.3,2.2,5.99,8.5,2.51,1,1,original
7.5,12.75,3.3,2.5,5.37,7.87,2.5,1,1,original
6.0,12.0,3.3,3.8,5.31,7.8,2.49,1,1,original
5.5,12.5,3.0,3.2,5.41,7.9,2.49,1,1,original
7.0,12.0,3.3,3.9,5.63,8.12,2.4899999999999993,1,1,original
7.0,12.0,3.0,3.5,5.7,8.19,2.4899999999999993,1,1,original
7.0,11.75,3.3,2.2,5.83,8.3,2.4700000000000006,1,1,original
7.0,12.0,3.0,2.8,5.68,8.15,2.4700000000000006,1,1,original
7.5,12.0,3.3,2.5,5.68,8.13,2.450000000000001,1,1,original
6.0,12.5,3.0,3.1,5.37,7.82,2.45,1,1,original
7.0,11.5,3.3,2.2,5.91,8.36,2.4499999999999993,1,1,original
7.0,12.5,3.0,3.0,5.53,7.97,2.4399999999999995,1,1,original
5.5,12.5,3.3,5.0,5.06,7.49,2.4300000000000006,1,1,original
7.0,12.5,3.0,2.2,5.66,8.09,2.4299999999999997,1,1,original
7.0,12.0,3.3,2.4,5.84,8.26,2.42,1,1,original
7.5,12.5,3.3,3.3,5.48,7.9,2.42,1,1,original
7.0,11.75,3.3,2.1,5.8,8.21,2.410000000000001,1,1,original
7.0,12.5,3.0,3.4,5.52,7.93,2.41,1,1,original
5.0,10.75,3.3,2.7,6.33,8.73,2.4000000000000004,1,1,original
7.0,11.25,3.3,2.0,6.09,8.49,2.4000000000000004,1,1,original
7.0,12.0,3.0,3.4,5.77,8.17,2.4000000000000004,1,1,original
6.5,11.5,3.3,2.3,6.07,8.46,2.3900000000000006,1,1,original
7.0,11.5,3.3,2.5,5.81,8.2,2.3899999999999997,1,1,original
7.0,11.5,3.3,2.6,5.89,8.28,2.3899999999999997,1,1,original
7.0,12.0,3.3,4.3,5.61,8.0,2.3899999999999997,1,1,original
7.0,11.0,3.3,2.7,6.01,8.39,2.380000000000001,1,1,original
6.5,12.25,3.3,3.0,5.76,8.14,2.380000000000001,1,1,original
6.5,12.0,3.0,4.9,5.14,7.51,2.37,1,1,original
7.0,12.0,3.3,4.0,5.67,8.04,2.369999999999999,1,1,original
7.0,11.75,3.3,2.6,5.82,8.19,2.369999999999999,1,1,original
7.5,12.0,3.3,2.8,5.69,8.05,2.3600000000000003,1,1,original
7.0,12.5,3.3,2.9,5.52,7.88,2.3600000000000003,1,1,original
7.0,12.0,3.0,2.4,5.78,8.14,2.3600000000000003,1,1,original
7.0,12.0,3.0,3.8,5.81,8.16,2.3500000000000005,1,1,original
6.0,12.0,3.3,4.1,5.15,7.5,2.3499999999999996,1,1,original
7.0,12.0,3.3,3.8,5.64,7.98,2.3400000000000007,1,1,original
7.5,11.5,3.3,2.3,5.84,8.18,2.34,1,1,original
7.0,12.25,3.3,2.8,5.59,7.93,2.34,1,1,original
7.0,12.0,3.0,3.1,5.73,8.07,2.34,1,1,original
6.0,12.5,3.0,2.8,5.43,7.77,2.34,1,1,original
7.0,11.5,3.3,2.8,5.92,8.25,2.33,1,1,original
7.0,12.0,3.0,2.9,5.64,7.97,2.33,1,1,original
6.5,12.25,3.3,2.5,5.89,8.21,2.320000000000001,1,1,original
7.0,11.75,3.3,2.4,5.9,8.22,2.3200000000000003,1,1,original
7.5,12.5,3.3,3.2,5.63,7.95,2.3200000000000003,1,1,original
7.5,11.5,3.3,2.2,5.83,8.15,2.3200000000000003,1,1,original
7.0,11.5,3.3,2.0,6.02,8.34,2.3200000000000003,1,1,original
5.0,11.75,3.3,2.9,5.47,7.78,2.3100000000000005,1,1,original
