active_rank,LG,WR,LR,WF,why_simulate,active_learning_score,classification_uncertainty,total_model_std,prob_resonant,pred_FL,pred_FU,pred_BW,expected_BW,bw_model_std,fl_model_std,fu_model_std,physics_fc,physics_score,physics_guided_score
11,5.5,11.75,3.0,4.6,balanced active-learning candidate,0.5784767102094761,0.9508479074717893,0.6449366918816485,0.5245760462641054,5.333861261995307,7.692418321729331,2.3745225217951043,1.2456176362483486,0.3473126908787162,0.03444047772754649,0.2631835232753858,6.9,0.4674639887211588,0.776818008958161
12,7.0,11.5,3.0,4.2,balanced active-learning candidate,0.5772534695900499,0.8664279251533018,0.8689831538937398,0.5667860374233491,6.253579760856006,7.811594291525008,2.053289123479593,1.1637756059814603,0.10794294974692585,0.5593531103476004,0.20168709379921354,6.7,0.42400953181275586,0.8688881583253967
13,5.5,11.25,3.0,3.5,balanced active-learning candidate,0.5772097737796007,0.8207210239531373,0.6875235616104607,0.5896394880234314,6.020676558616538,8.105322335838583,2.529505663875317,1.4914964245998117,0.3714691171439529,0.23372725124477775,0.08232719322172999,7.5,0.9964560772468412,1.086361101056283
14,6.5,11.75,3.3,4.8,balanced active-learning candidate,0.5764308879615814,0.8765066161404689,0.49470922682609364,0.5617466919297656,5.332779790230911,8.084625160227368,2.865769757829512,1.6098366812930935,0.2933097779713952,0.08243616096551683,0.11896328788918163,6.6,0.37677648425529786,1.0120160542348908
15,5.5,11.75,3.0,3.5,balanced active-learning candidate,0.5758140258839626,0.8076989114214026,0.6213197033242288,0.5961505442892987,5.534449352909766,8.067324989558639,2.6271360562892063,1.566168589878852,0.30548695161859146,0.054059727612838906,0.2617730240927984,7.300000000000001,0.9547789838501731,1.1834062894573718
16,6.0,11.75,3.3,4.1,balanced active-learning candidate,0.574505466960226,0.8819480244333588,0.564100985635143,0.5590259877833206,5.369109180972891,7.821624484523681,2.5427790693794625,1.4214795809746066,0.2943171272477635,0.04156944928204354,0.22821440910533594,6.9,0.8615065591877544,1.052616760474769
17,6.0,11.75,3.3,4.7,balanced active-learning candidate,0.5743054121851661,0.8783372750629079,0.5425351304663564,0.560831362468546,5.306503547028017,8.017366717899572,2.7478286118820954,1.541068464231889,0.3487407978372954,0.05442201075554196,0.13937232187351906,6.7,0.4587522702847635,0.9570693820646416
18,6.0,11.75,3.0,3.2,balanced active-learning candidate,0.572522747120086,0.879656743659071,0.5759209508279447,0.5601716281704645,5.666054926921389,8.166982423968665,2.5985615993279394,1.455640481996778,0.39205345509395606,0.028767210629704502,0.1551002851042841,7.2,0.739396904398474,0.9639264586997013
19,5.5,11.25,3.0,3.4,balanced active-learning candidate,0.5706719272652756,0.77706807839684,0.7151879401618263,0.61146596080158,5.974148522571502,8.131733317413357,2.4946733816641276,1.5254078562053826,0.3395757095722627,0.23589159292995984,0.13972063765960374,7.5,0.9799506271840852,1.1318754170661334
20,6.0,11.75,3.3,4.6,balanced active-learning candidate,0.5701512075653897,0.9172511025778343,0.37748193942972896,0.5413744487110829,5.350330391941173,8.103820077037911,2.803501519281151,1.5177440894615164,0.23188310114647498,0.04199834925333865,0.10360048902991534,6.8,0.5272355244786417,1.0573109101994833
